Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Region,Middle East & Africa,Middle East & Africa,Middle East & Africa,"12,308","14,022","15,975","18,183","20,648","23,443","26,626","30,270","34,418","39,122","44,414","50,326","57,004"
North America,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,"63,144","67,768","72,779","78,099","83,829","90,029","96,742","104,087","111,958","120,291","128,876","137,657","146,773"
North America,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,"24,465","26,576","28,857","31,344","34,003","36,846","39,876","43,108","46,487","50,163","54,085","58,223","62,601"
North America,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,"26,394","28,954","31,779","34,831","38,083","41,579","45,342","49,473","53,994","58,947","64,257","69,883","75,916"
North America,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,"27,914","31,308","34,994","38,991","43,372","48,301","53,875","60,143","67,049","74,610","82,868","91,854","101,717"
North America,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,"5,713","6,424","7,226","8,119","9,119","10,230","11,466","12,840","14,353","16,012","17,824","19,784","21,933"
North America,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,"47,491","52,858","58,872","65,455","72,531","80,109","88,272","97,223","107,025","117,762","129,352","141,602","154,854"
North America,By Component,Hardware,Payment Units,Payment Units,"69,311","75,690","82,617","90,187","98,297","107,006","116,354","126,391","136,962","148,497","160,855","173,956","187,878"
North America,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,"57,735","62,258","67,184","72,371","77,736","83,326","89,216","95,616","102,542","110,035","117,883","125,992","134,496"
North America,By Component,Hardware,Receipt Printer,Receipt Printer,"74,318","79,327","84,751","90,361","96,113","101,794","107,693","113,951","120,665","127,804","135,172","142,634","150,242"
North America,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","55,179","60,924","67,283","74,160","81,432","89,296","97,807","107,238","117,703","129,150","141,522","154,565","168,518"
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,"24,866","27,098","29,463","31,952","34,607","37,439","40,507","43,832","47,360","51,097","55,071","59,255","63,702"
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,"20,604","22,733","25,086","27,650","30,462","33,579","37,038","40,895","45,138","49,801","54,863","60,326","66,234"
North America,By Product Type,Fixed-Position Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,"13,293","14,622","16,093","17,690","19,395","21,213","23,180","25,342","27,701","30,307","33,099","36,065","39,237"
North America,By Product Type,Mobile Self-Scanning Solutions,Dedicated Mobile Self-Scanning Devices,Dedicated Mobile Self-Scanning Devices,"20,166","22,903","26,022","29,517","33,440","37,839","42,832","48,534","54,985","62,200","70,161","78,900","88,591"
North America,By Product Type,Mobile Self-Scanning Solutions,Smartphone-Based Self-Scanning,Smartphone-Based Self-Scanning,"6,359","7,395","8,594","9,969","11,542","13,358","15,468","17,918","20,725","23,950","27,622","31,809","36,589"
North America,By Product Type,Mobile Self-Scanning Solutions,Smart-Cart-Based Self-Scanning,Smart-Cart-Based Self-Scanning,"3,121","3,678","4,334","5,099","5,985","7,013","8,225","9,648","11,309","13,247","15,479","18,034","20,970"
North America,By Model Type,Cash Model,Cash Model,Cash Model,"21,236","23,109","25,154","27,360","29,704","32,217","34,933","37,882","41,005","44,353","47,847","51,503","55,365"
North America,By Model Type,Cashless Model,Cashless Model,Cashless Model,"67,173","75,320","84,438","94,517","105,727","118,224","132,317","148,287","166,213","186,249","208,448","232,886","259,958"
North America,By Technology,Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),"80,256","89,034","98,761","109,404","121,088","133,948","148,275","164,307","182,026","201,558","222,855","245,954","271,186"
