Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Retail Format,Convenience Stores,Convenience Stores,Convenience Stores,274.0,310.8,353.0,401.6,457.3,521.5,595.6,681.4,780.6,895.3,"1,027.9","1,180.2","1,354.9"
Global,By Retail Format,Specialty and Discount Stores,Specialty and Discount Stores,Specialty and Discount Stores,219.1,244.9,274.0,306.7,343.4,385.1,432.7,487.3,549.8,620.9,701.7,793.1,896.3
Global,By Retail Format,Department Stores,Department Stores,Department Stores,141.5,156.3,172.9,191.4,212.2,235.4,261.7,291.4,325.1,363.2,406.1,454.2,507.8
Global,By Retail Format,Warehouse Clubs,Warehouse Clubs,Warehouse Clubs,229.9,264.3,304.4,351.0,405.2,468.6,542.9,630.5,733.5,854.4,995.7,"1,160.4","1,352.5"
Global,By Retail Format,Pharmacies & Drugstores,Pharmacies & Drugstores,Pharmacies & Drugstores,111.5,123.6,137.2,152.5,169.6,188.9,210.7,235.4,263.4,295.0,330.5,370.1,414.4
Global,By Region,North America,North America,North America,798.6,889.4,991.2,"1,105.3","1,233.8","1,379.4","1,545.4","1,734.9","1,949.7","2,192.6","2,466.2","2,773.0","3,116.7"
Global,By Region,Europe,Europe,Europe,642.1,719.8,807.9,907.7,"1,021.1","1,150.7","1,299.9","1,472.0","1,669.9","1,896.6","2,155.8","2,451.5","2,787.9"
Global,By Region,Asia Pacific,Asia Pacific,Asia Pacific,468.3,536.1,614.4,705.0,809.8,931.4,"1,073.1","1,238.4","1,431.1","1,655.6","1,916.3","2,217.6","2,565.7"
Global,By Region,Latin America,Latin America,Latin America,170.7,193.2,218.8,248.2,281.7,320.0,364.1,414.9,473.4,540.8,618.0,706.0,806.3
Global,By Region,Middle East & Africa,Middle East & Africa,Middle East & Africa,104.0,118.5,135.2,154.3,176.1,201.1,230.1,263.9,303.1,348.4,400.6,460.7,529.4
North America,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,23.1,25.0,27.1,29.5,32.1,35.0,38.3,41.9,45.9,50.3,55.0,60.0,65.4
North America,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,59.0,64.6,70.8,77.8,85.6,94.2,103.7,114.1,125.5,138.2,152.3,167.9,184.9
North America,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,6.8,7.5,8.3,9.2,10.2,11.4,12.6,14.0,15.5,17.2,19.2,21.3,23.6
North America,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,36.4,41.2,46.5,52.3,59.0,66.6,75.5,85.8,97.4,110.5,125.4,142.4,161.6
North America,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,20.7,23.5,26.8,30.5,34.7,39.6,45.3,51.8,59.3,67.8,77.4,88.4,100.8
North America,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,88.1,99.0,111.5,125.5,141.1,158.6,178.3,200.7,226.2,255.2,287.8,324.1,364.7
North America,By Component,Hardware,Payment Units,Payment Units,21.9,24.1,26.5,29.3,32.4,35.8,39.6,43.8,48.5,53.6,59.5,65.9,73.0
North America,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,84.9,92.5,100.8,110.0,119.8,130.4,141.9,154.6,168.8,184.5,201.7,220.1,240.0
North America,By Component,Hardware,Receipt Printer,Receipt Printer,30.6,33.0,35.6,38.5,41.5,44.7,48.2,52.0,56.3,61.1,66.3,71.8,77.7
North America,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)",42.0,46.7,52.1,58.0,64.5,71.8,79.9,89.1,99.6,111.4,124.7,139.5,155.9
North America,By Component,Software,Scanning & Decoding software,Scanning & Decoding software,45.6,50.5,55.8,61.5,67.9,75.1,83.4,92.8,103.3,114.8,127.6,142.0,157.8
North America,By Component,Software,Computer Vision Software,Computer Vision Software,10.2,11.7,13.2,15.0,17.1,19.5,22.3,25.5,29.3,33.5,38.3,43.9,50.2
North America,By Component,Software,POS & Payment Integration Software,POS & Payment Integration Software,37.5,41.9,47.0,52.7,59.2,66.7,75.3,85.2,96.4,108.9,123.0,138.6,155.9
North America,By Component,Software,Store Operations & Workflow Software,Store Operations & Workflow Software,28.1,31.8,36.1,40.9,46.3,52.4,59.3,67.3,76.5,87.1,99.2,112.8,128.2
